time,rhum,wdir,wspd
2015-07-18 00:00:00,87.0,220.0,11.2
2015-07-18 01:00:00,85.0,230.0,13.0
2015-07-18 02:00:00,88.0,230.0,13.0
2015-07-18 03:00:00,87.0,240.0,13.0
2015-07-18 04:00:00,88.0,230.0,14.8
2015-07-18 05:00:00,85.0,250.0,18.4
2015-07-18 06:00:00,87.0,240.0,14.8
2015-07-18 07:00:00,87.0,240.0,14.8
2015-07-18 08:00:00,85.0,220.0,11.2
2015-07-18 09:00:00,76.0,250.0,14.8
2015-07-18 10:00:00,74.0,250.0,11.2
2015-07-18 11:00:00,72.0,250.0,11.2
2015-07-18 12:00:00,72.0,230.0,9.4
2015-07-18 13:00:00,73.0,240.0,14.8
2015-07-18 14:00:00,70.0,310.0,7.6
2015-07-18 15:00:00,64.0,280.0,11.2
2015-07-18 16:00:00,71.0,240.0,20.5
2015-07-18 17:00:00,84.0,230.0,16.6
2015-07-18 18:00:00,77.0,220.0,14.8
2015-07-18 19:00:00,82.0,250.0,11.2
2015-07-18 20:00:00,70.0,230.0,11.2
2015-07-18 21:00:00,72.0,210.0,11.2
2015-07-18 22:00:00,74.0,220.0,14.8
2015-07-18 23:00:00,79.0,250.0,16.6
2015-07-19 00:00:00,94.0,220.0,13.0
2015-07-19 01:00:00,94.0,220.0,9.4
2015-07-19 02:00:00,94.0,210.0,13.0
2015-07-19 03:00:00,97.0,220.0,7.6
2015-07-19 04:00:00,94.0,240.0,11.2
2015-07-19 05:00:00,94.0,250.0,14.8
2015-07-19 06:00:00,94.0,250.0,11.2
2015-07-19 07:00:00,91.0,240.0,13.0
2015-07-19 08:00:00,89.0,240.0,16.6
2015-07-19 09:00:00,85.0,240.0,14.8
2015-07-19 10:00:00,77.0,270.0,11.2
2015-07-19 11:00:00,80.0,230.0,16.6
2015-07-19 12:00:00,77.0,240.0,18.4
2015-07-19 13:00:00,78.0,240.0,16.6
2015-07-19 14:00:00,72.0,240.0,22.3
2015-07-19 15:00:00,71.0,240.0,20.5
2015-07-19 16:00:00,71.0,240.0,20.5
2015-07-19 17:00:00,84.0,230.0,16.6
2015-07-19 18:00:00,77.0,220.0,14.8
2015-07-19 19:00:00,82.0,250.0,11.2
2015-07-19 20:00:00,70.0,230.0,11.2
2015-07-19 21:00:00,79.0,210.0,9.4
2015-07-19 22:00:00,85.0,250.0,11.2
2015-07-19 23:00:00,78.0,270.0,13.0
2015-07-20 00:00:00,76.0,230.0,9.4
2015-07-20 01:00:00,84.0,260.0,9.4
2015-07-20 02:00:00,78.0,270.0,7.6
2015-07-20 03:00:00,84.0,None,5.4
2015-07-20 04:00:00,87.0,290.0,5.4
2015-07-20 05:00:00,87.0,None,0.0
