Date,Temp
2015-07-17,72.1
2015-07-18,72.9
2015-07-19,74.3
2015-07-20,74.3
2015-07-21,75.4
2015-07-22,75.4
2016-07-17,76.3
2016-07-18,76.1
2016-07-19,76.5
2016-07-20,77.2
2016-07-21,77.4
2016-07-22,78.6
2017-07-17,74.1
2017-07-18,74.8
2017-07-19,75.6
2017-07-20,77.4
2017-07-21,77.2
2017-07-22,77.2
2018-07-17,79.3
2018-07-18,78.6
2018-07-19,78.4
2018-07-20,78.1
2018-07-21,77.5
2018-07-22,77.9
2019-07-17,79.9
2019-07-18,79.5
2019-07-19,78.8
2019-07-20,79.7
2019-07-21,81.3
2019-07-22,80.8
2020-07-17,77.9
2020-07-18,78.3
2020-07-19,78.8
2020-07-20,79.2
2020-07-21,78.3
2020-07-22,78.1
2021-07-17,74.3
2021-07-18,74.1
2021-07-19,75.4
2021-07-20,76.1
2021-07-21,76.1
2021-07-22,75.9
2022-07-17,73.2
2022-07-18,73.2
2022-07-19,75.2
2022-07-20,75.9
2022-07-21,76.1
2022-07-22,77.5
2023-07-17,75.9
2023-07-18,76.3
2023-07-19,77.5
2023-07-20,76.1
2023-07-21,75.9
2023-07-22,76.5
2024-07-17,77.7
2024-07-18,77.2
2024-07-19,77.2
2024-07-20,77.5
2024-07-21,77.7
2024-07-22,77.4
